hidden_dim,num_encoder_layers,num_decoder_layers,num_graph_layers,graph_nhead,dropout,epochs,lr,batchnorm,grad_clip,Train r2,Val r2,Test r2,Train rmse,Val rmse,Test rmse,Train mape,Val mape,Test mape,Time,input_dim,random_state,loss,rootpath,DataFactory,output_dim,mode,verbose,Precedence,GraphDataFactory,features,n_columns,n_features,feature combo ningxiang score
16.0,2.0,1.0,1.0,4.0,0.1,10.0,0.01,False,True,0.894183,0.893652,0.89338,0.096039,0.096281,0.096409,,,,75.47,15.0,42.0,MSELoss(),./,,1.0,Regression,True,14.0,<function GraphDataFactory at 0x797de551e050>,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks', 'Tackles Outside 50', 'Metres Gained', 'Marks', 'Behind Assists']",15.0,14.0,0.9565296687326263
16.0,2.0,1.0,1.0,4.0,0.1,10.0,0.01,False,True,0.898428,0.896835,0.896528,0.094093,0.09483,0.094976,,,,73.41,16.0,42.0,MSELoss(),./,,1.0,Regression,True,15.0,<function GraphDataFactory at 0x797de551e050>,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks', 'Tackles Outside 50', 'Metres Gained', 'Marks', 'Behind Assists', 'Intercepts']",16.0,15.0,0.9611499564974356
16.0,2.0,1.0,1.0,4.0,0.1,10.0,0.01,False,True,0.896979,0.896602,0.896685,0.094762,0.094937,0.094903,,,,74.66,17.0,42.0,MSELoss(),./,,1.0,Regression,True,16.0,<function GraphDataFactory at 0x797de551e050>,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks', 'Tackles Outside 50', 'Metres Gained', 'Marks', 'Behind Assists', 'Intercepts', 'Marks Inside 50']",17.0,16.0,0.9645858003064072
16.0,2.0,1.0,1.0,4.0,0.1,10.0,0.01,False,True,0.898187,0.897267,0.897989,0.094205,0.094631,0.094302,,,,74.42,18.0,42.0,MSELoss(),./,,1.0,Regression,True,17.0,<function GraphDataFactory at 0x797de551e050>,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks', 'Tackles Outside 50', 'Metres Gained', 'Marks', 'Behind Assists', 'Intercepts', 'Marks Inside 50', 'Goal Assists']",18.0,17.0,0.9673770870917228
16.0,2.0,1.0,1.0,4.0,0.1,10.0,0.01,False,True,0.899814,0.89899,0.899026,0.093449,0.093834,0.093822,,,,74.43,19.0,42.0,MSELoss(),./,,1.0,Regression,True,18.0,<function GraphDataFactory at 0x797de551e050>,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks', 'Tackles Outside 50', 'Metres Gained', 'Marks', 'Behind Assists', 'Intercepts', 'Marks Inside 50', 'Goal Assists', 'Frees Agains']",19.0,18.0,0.9701515001846404
16.0,2.0,1.0,1.0,4.0,0.1,10.0,0.01,False,True,0.898406,0.897956,0.897568,0.094103,0.094313,0.094497,,,,73.94,20.0,42.0,MSELoss(),./,,1.0,Regression,True,19.0,<function GraphDataFactory at 0x797de551e050>,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks', 'Tackles Outside 50', 'Metres Gained', 'Marks', 'Behind Assists', 'Intercepts', 'Marks Inside 50', 'Goal Assists', 'Frees Agains', 'Tackles Inside 50']",20.0,19.0,0.9727234836103577
16.0,2.0,1.0,1.0,4.0,0.1,10.0,0.01,False,True,0.899285,0.897935,0.898521,0.093695,0.094322,0.094056,,,,73.61,21.0,42.0,MSELoss(),./,,1.0,Regression,True,20.0,<function GraphDataFactory at 0x797de551e050>,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks', 'Tackles Outside 50', 'Metres Gained', 'Marks', 'Behind Assists', 'Intercepts', 'Marks Inside 50', 'Goal Assists', 'Frees Agains', 'Tackles Inside 50', 'Handballs']",21.0,20.0,0.975217379174236
16.0,2.0,1.0,1.0,4.0,0.1,10.0,0.01,False,True,0.884966,0.885995,0.887025,0.100134,0.099687,0.099241,,,,74.79,22.0,42.0,MSELoss(),./,,1.0,Regression,True,21.0,<function GraphDataFactory at 0x797de551e050>,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks', 'Tackles Outside 50', 'Metres Gained', 'Marks', 'Behind Assists', 'Intercepts', 'Marks Inside 50', 'Goal Assists', 'Frees Agains', 'Tackles Inside 50', 'Handballs', 'Marks Outside 50']",22.0,21.0,0.9773390168194316
16.0,2.0,1.0,1.0,4.0,0.1,10.0,0.01,False,True,0.897335,0.897007,0.897293,0.094598,0.094751,0.094624,,,,74.28,23.0,42.0,MSELoss(),./,,1.0,Regression,True,22.0,<function GraphDataFactory at 0x797de551e050>,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks', 'Tackles Outside 50', 'Metres Gained', 'Marks', 'Behind Assists', 'Intercepts', 'Marks Inside 50', 'Goal Assists', 'Frees Agains', 'Tackles Inside 50', 'Handballs', 'Marks Outside 50', 'Time On Ground %']",23.0,22.0,0.9794518706907822
16.0,2.0,1.0,1.0,4.0,0.1,10.0,0.01,False,True,0.900328,0.899222,0.899542,0.093209,0.093726,0.093582,,,,74.41,24.0,42.0,MSELoss(),./,,1.0,Regression,True,23.0,<function GraphDataFactory at 0x797de551e050>,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks', 'Tackles Outside 50', 'Metres Gained', 'Marks', 'Behind Assists', 'Intercepts', 'Marks Inside 50', 'Goal Assists', 'Frees Agains', 'Tackles Inside 50', 'Handballs', 'Marks Outside 50', 'Time On Ground %', 'Rebound 50s']",24.0,23.0,0.981268113923304
