hidden_dim,num_transformer_layers,num_mlp_layers,dropout,batch_size,nhead,share_embedding_mlp,use_cls,epochs,lr,batchnorm,grad_clip,features,feature combo ningxiang score,Train r2,Val r2,Test r2,Train rmse,Val rmse,Test rmse,Train mape,Val mape,Test mape,Time,input_dim,random_state,loss,rootpath,TabularDataFactory,TabularDataset,name,output_dim,mode,verbose,n_columns,n_features,Precedence
16.0,1.0,1.0,0.1,128.0,4.0,True,False,10.0,0.01,False,False,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks']",0.9296124325661,0.886191,0.886121,0.887638,0.0996,0.099632,0.098971,,,,37.17,11.0,42.0,MSELoss(),./,<function TabularDataFactory at 0x796864fb2dd0>,<class 'PyTorch2Sklearn.utils.data.TabularDataset'>,Transformer,1.0,Regression,True,11.0,10.0,10.0
16.0,1.0,1.0,0.1,128.0,4.0,True,False,10.0,0.01,False,False,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks', 'Tackles Outside 50']",0.9370952172710802,0.855606,0.855638,0.85737,0.112188,0.112177,0.111508,,,,38.72,12.0,42.0,MSELoss(),./,<function TabularDataFactory at 0x796864fb2dd0>,<class 'PyTorch2Sklearn.utils.data.TabularDataset'>,Transformer,1.0,Regression,True,12.0,11.0,11.0
16.0,1.0,1.0,0.1,128.0,4.0,True,False,10.0,0.01,False,False,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks', 'Tackles Outside 50', 'Metres Gained']",0.943798522826618,0.880732,0.881824,0.882816,0.10196,0.101494,0.101073,,,,40.21,13.0,42.0,MSELoss(),./,<function TabularDataFactory at 0x796864fb2dd0>,<class 'PyTorch2Sklearn.utils.data.TabularDataset'>,Transformer,1.0,Regression,True,13.0,12.0,12.0
16.0,1.0,1.0,0.1,128.0,4.0,True,False,10.0,0.01,False,False,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks', 'Tackles Outside 50', 'Metres Gained', 'Marks']",0.9503332272292372,0.887366,0.88791,0.888941,0.099084,0.098846,0.098396,,,,41.5,14.0,42.0,MSELoss(),./,<function TabularDataFactory at 0x796864fb2dd0>,<class 'PyTorch2Sklearn.utils.data.TabularDataset'>,Transformer,1.0,Regression,True,14.0,13.0,13.0
16.0,1.0,1.0,0.1,128.0,4.0,True,False,10.0,0.01,False,False,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks', 'Tackles Outside 50', 'Metres Gained', 'Marks', 'Behind Assists']",0.9565296687326263,0.889871,0.889812,0.890294,0.097976,0.098004,0.097795,,,,43.64,15.0,42.0,MSELoss(),./,<function TabularDataFactory at 0x796864fb2dd0>,<class 'PyTorch2Sklearn.utils.data.TabularDataset'>,Transformer,1.0,Regression,True,15.0,14.0,14.0
16.0,1.0,1.0,0.1,128.0,4.0,True,False,10.0,0.01,False,False,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks', 'Tackles Outside 50', 'Metres Gained', 'Marks', 'Behind Assists', 'Intercepts']",0.9611499564974356,0.889294,0.888949,0.889206,0.098233,0.098387,0.098278,,,,44.24,16.0,42.0,MSELoss(),./,<function TabularDataFactory at 0x796864fb2dd0>,<class 'PyTorch2Sklearn.utils.data.TabularDataset'>,Transformer,1.0,Regression,True,16.0,15.0,15.0
16.0,1.0,1.0,0.1,128.0,4.0,True,False,10.0,0.01,False,False,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks', 'Tackles Outside 50', 'Metres Gained', 'Marks', 'Behind Assists', 'Intercepts', 'Marks Inside 50']",0.9645858003064072,0.870311,0.871068,0.87162,0.106322,0.106013,0.105791,,,,46.63,17.0,42.0,MSELoss(),./,<function TabularDataFactory at 0x796864fb2dd0>,<class 'PyTorch2Sklearn.utils.data.TabularDataset'>,Transformer,1.0,Regression,True,17.0,16.0,16.0
16.0,1.0,1.0,0.1,128.0,4.0,True,False,10.0,0.01,False,False,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks', 'Tackles Outside 50', 'Metres Gained', 'Marks', 'Behind Assists', 'Intercepts', 'Marks Inside 50', 'Goal Assists']",0.9673770870917228,0.88184,0.880835,0.882685,0.101486,0.101918,0.101129,,,,46.76,18.0,42.0,MSELoss(),./,<function TabularDataFactory at 0x796864fb2dd0>,<class 'PyTorch2Sklearn.utils.data.TabularDataset'>,Transformer,1.0,Regression,True,18.0,17.0,17.0
16.0,1.0,1.0,0.1,128.0,4.0,True,False,10.0,0.01,False,False,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks', 'Tackles Outside 50', 'Metres Gained', 'Marks', 'Behind Assists', 'Intercepts', 'Marks Inside 50', 'Goal Assists', 'Frees Agains']",0.9701515001846404,0.891861,0.891725,0.892844,0.097087,0.097149,0.096651,,,,49.22,19.0,42.0,MSELoss(),./,<function TabularDataFactory at 0x796864fb2dd0>,<class 'PyTorch2Sklearn.utils.data.TabularDataset'>,Transformer,1.0,Regression,True,19.0,18.0,18.0
16.0,1.0,1.0,0.1,128.0,4.0,True,False,10.0,0.01,False,False,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks', 'Tackles Outside 50', 'Metres Gained', 'Marks', 'Behind Assists', 'Intercepts', 'Marks Inside 50', 'Goal Assists', 'Frees Agains', 'Tackles Inside 50']",0.9727234836103577,0.890348,0.890328,0.890686,0.097764,0.097774,0.09762,,,,50.78,20.0,42.0,MSELoss(),./,<function TabularDataFactory at 0x796864fb2dd0>,<class 'PyTorch2Sklearn.utils.data.TabularDataset'>,Transformer,1.0,Regression,True,20.0,19.0,19.0
