hidden_dim,num_transformer_layers,num_graph_layers,num_mlp_layers,graph_nhead,dropout,nhead,share_embedding_mlp,use_cls,epochs,lr,batchnorm,grad_clip,Train r2,Val r2,Test r2,Train rmse,Val rmse,Test rmse,Train mape,Val mape,Test mape,Time,input_dim,random_state,loss,rootpath,GraphDataFactory,output_dim,mode,verbose,Precedence
128.0,1.0,1.0,1.0,4.0,0.1,4.0,True,False,10.0,0.01,False,False,0.713646,0.709373,0.715611,0.157987,0.159164,0.157455,,,,256.64,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7cf903d53490>,1.0,Regression,True,64.0
256.0,1.0,1.0,1.0,4.0,0.1,4.0,True,False,10.0,0.01,False,False,0.579801,0.571467,0.576868,0.19138,0.193272,0.192061,,,,264.92,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7cf903d53490>,1.0,Regression,True,65.0
16.0,1.0,1.0,1.0,4.0,0.0,4.0,True,False,10.0,0.01,False,False,0.901212,0.899696,0.898938,0.092794,0.093505,0.093863,,,,225.89,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7cf903d53490>,1.0,Regression,True,66.0
16.0,1.0,1.0,1.0,4.0,0.05,4.0,True,False,10.0,0.01,False,False,0.895991,0.893762,0.891904,0.095215,0.096232,0.097074,,,,260.72,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7cf903d53490>,1.0,Regression,True,67.0
16.0,1.0,1.0,1.0,4.0,0.2,4.0,True,False,10.0,0.01,False,False,0.431866,0.417906,0.436934,0.222533,0.225255,0.221554,,,,264.23,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7cf903d53490>,1.0,Regression,True,68.0
16.0,1.0,1.0,1.0,4.0,0.1,4.0,False,False,10.0,0.01,False,False,0.902808,0.902249,0.901994,0.092042,0.092308,0.092433,,,,278.36,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7cf903d53490>,1.0,Regression,True,69.0
16.0,1.0,1.0,1.0,4.0,0.1,4.0,True,True,10.0,0.01,False,False,-4e-06,-4e-06,-4e-06,0.295237,0.295242,0.295258,,,,212.74,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7cf903d53490>,1.0,Regression,True,70.0
16.0,1.0,1.0,1.0,4.0,0.1,4.0,True,False,10.0,0.01,True,False,0.89291,0.891554,0.890896,0.096615,0.097227,0.097526,,,,346.43,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7cf903d53490>,1.0,Regression,True,71.0
16.0,1.0,1.0,1.0,4.0,0.1,4.0,True,False,10.0,0.01,False,True,0.873426,0.872622,0.873541,0.105037,0.105372,0.104997,,,,266.43,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7cf903d53490>,1.0,Regression,True,72.0
16.0,1.0,1.0,1.0,4.0,0.1,4.0,True,False,10.0,1e-05,False,False,0.889401,0.889882,0.890297,0.098185,0.097973,0.097793,,,,258.14,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7cf903d53490>,1.0,Regression,True,73.0
16.0,1.0,1.0,1.0,4.0,0.1,4.0,True,False,10.0,0.0001,False,False,0.903261,0.903071,0.902168,0.091827,0.091919,0.092351,,,,263.82,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7cf903d53490>,1.0,Regression,True,74.0
16.0,1.0,1.0,1.0,4.0,0.1,4.0,True,False,10.0,0.001,False,False,0.904399,0.903492,0.902647,0.091285,0.091719,0.092124,,,,262.31,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7cf903d53490>,1.0,Regression,True,75.0
16.0,1.0,1.0,1.0,4.0,0.1,4.0,True,False,10.0,0.1,False,False,-0.074084,-0.074082,-0.074093,0.305977,0.305982,0.306,,,,263.25,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7cf903d53490>,1.0,Regression,True,76.0
16.0,1.0,1.0,1.0,4.0,0.1,4.0,True,False,5.0,0.01,False,False,0.899488,0.898533,0.899479,0.0936,0.094046,0.093612,,,,132.82,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7cf903d53490>,1.0,Regression,True,77.0
16.0,1.0,1.0,1.0,4.0,0.1,4.0,True,False,20.0,0.01,False,False,0.758947,0.758753,0.763826,0.144953,0.145013,0.143488,,,,522.94,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7cf903d53490>,1.0,Regression,True,78.0
16.0,1.0,1.0,1.0,4.0,0.1,4.0,True,False,30.0,0.01,False,False,0.732221,0.726839,0.734038,0.152777,0.154307,0.152268,,,,773.96,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7cf903d53490>,1.0,Regression,True,79.0
