hidden_dim,hidden_layers,dropout,batch_size,epochs,lr,batchnorm,grad_clip,features,feature combo ningxiang score,Train r2,Val r2,Test r2,Train rmse,Val rmse,Test rmse,Train mape,Val mape,Test mape,Time,input_dim,random_state,loss,rootpath,TabularDataFactory,TabularDataset,name,output_dim,mode,n_columns,n_features,Precedence
16.0,2.0,0.1,32.0,10.0,0.01,False,True,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks']",0.9296124325661,0.785551,0.784603,0.786216,0.13672,0.137024,0.136517,,,,41.64,11.0,42.0,MSELoss(),./,<function TabularDataFactory at 0x7cc4439c5fc0>,<class 'PyTorch2Sklearn.utils.data.TabularDataset'>,MLP,1.0,Regression,11.0,10.0,10.0
16.0,2.0,0.1,32.0,10.0,0.01,False,True,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks', 'Tackles Outside 50']",0.9370952172710802,0.820127,0.818425,0.820463,0.125214,0.125807,0.125106,,,,41.77,12.0,42.0,MSELoss(),./,<function TabularDataFactory at 0x7cc4439c5fc0>,<class 'PyTorch2Sklearn.utils.data.TabularDataset'>,MLP,1.0,Regression,12.0,11.0,11.0
16.0,2.0,0.1,32.0,10.0,0.01,False,True,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks', 'Tackles Outside 50', 'Metres Gained']",0.943798522826618,0.868578,0.869489,0.869797,0.107029,0.10666,0.10654,,,,41.93,13.0,42.0,MSELoss(),./,<function TabularDataFactory at 0x7cc4439c5fc0>,<class 'PyTorch2Sklearn.utils.data.TabularDataset'>,MLP,1.0,Regression,13.0,12.0,12.0
16.0,2.0,0.1,32.0,10.0,0.01,False,True,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks', 'Tackles Outside 50', 'Metres Gained', 'Marks']",0.9503332272292372,0.82732,0.826156,0.827957,0.122685,0.1231,0.122467,,,,41.89,14.0,42.0,MSELoss(),./,<function TabularDataFactory at 0x7cc4439c5fc0>,<class 'PyTorch2Sklearn.utils.data.TabularDataset'>,MLP,1.0,Regression,14.0,13.0,13.0
16.0,2.0,0.1,32.0,10.0,0.01,False,True,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks', 'Tackles Outside 50', 'Metres Gained', 'Marks', 'Behind Assists']",0.9565296687326263,0.884874,0.885262,0.885101,0.100174,0.100007,0.100083,,,,42.16,15.0,42.0,MSELoss(),./,<function TabularDataFactory at 0x7cc4439c5fc0>,<class 'PyTorch2Sklearn.utils.data.TabularDataset'>,MLP,1.0,Regression,15.0,14.0,14.0
16.0,2.0,0.1,32.0,10.0,0.01,False,True,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks', 'Tackles Outside 50', 'Metres Gained', 'Marks', 'Behind Assists', 'Intercepts']",0.9611499564974356,0.878796,0.878903,0.879475,0.102785,0.102741,0.102503,,,,41.8,16.0,42.0,MSELoss(),./,<function TabularDataFactory at 0x7cc4439c5fc0>,<class 'PyTorch2Sklearn.utils.data.TabularDataset'>,MLP,1.0,Regression,16.0,15.0,15.0
16.0,2.0,0.1,32.0,10.0,0.01,False,True,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks', 'Tackles Outside 50', 'Metres Gained', 'Marks', 'Behind Assists', 'Intercepts', 'Marks Inside 50']",0.9645858003064072,0.875367,0.875424,0.875964,0.104228,0.104207,0.103986,,,,41.88,17.0,42.0,MSELoss(),./,<function TabularDataFactory at 0x7cc4439c5fc0>,<class 'PyTorch2Sklearn.utils.data.TabularDataset'>,MLP,1.0,Regression,17.0,16.0,16.0
16.0,2.0,0.1,32.0,10.0,0.01,False,True,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks', 'Tackles Outside 50', 'Metres Gained', 'Marks', 'Behind Assists', 'Intercepts', 'Marks Inside 50', 'Goal Assists']",0.9673770870917228,0.880279,0.881,0.881207,0.102154,0.101847,0.101764,,,,42.49,18.0,42.0,MSELoss(),./,<function TabularDataFactory at 0x7cc4439c5fc0>,<class 'PyTorch2Sklearn.utils.data.TabularDataset'>,MLP,1.0,Regression,18.0,17.0,17.0
16.0,2.0,0.1,32.0,10.0,0.01,False,True,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks', 'Tackles Outside 50', 'Metres Gained', 'Marks', 'Behind Assists', 'Intercepts', 'Marks Inside 50', 'Goal Assists', 'Frees Agains']",0.9701515001846404,0.871214,0.871259,0.871538,0.105951,0.105934,0.105825,,,,42.02,19.0,42.0,MSELoss(),./,<function TabularDataFactory at 0x7cc4439c5fc0>,<class 'PyTorch2Sklearn.utils.data.TabularDataset'>,MLP,1.0,Regression,19.0,18.0,18.0
16.0,2.0,0.1,32.0,10.0,0.01,False,True,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks', 'Tackles Outside 50', 'Metres Gained', 'Marks', 'Behind Assists', 'Intercepts', 'Marks Inside 50', 'Goal Assists', 'Frees Agains', 'Tackles Inside 50']",0.9727234836103577,0.849533,0.849929,0.850815,0.114522,0.114374,0.114041,,,,42.17,20.0,42.0,MSELoss(),./,<function TabularDataFactory at 0x7cc4439c5fc0>,<class 'PyTorch2Sklearn.utils.data.TabularDataset'>,MLP,1.0,Regression,20.0,19.0,19.0
16.0,2.0,0.1,32.0,10.0,0.01,False,True,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks', 'Tackles Outside 50', 'Metres Gained', 'Marks', 'Behind Assists', 'Intercepts', 'Marks Inside 50', 'Goal Assists', 'Frees Agains', 'Tackles Inside 50', 'Handballs']",0.975217379174236,0.842237,0.840998,0.842692,0.117266,0.117728,0.117105,,,,41.84,21.0,42.0,MSELoss(),./,<function TabularDataFactory at 0x7cc4439c5fc0>,<class 'PyTorch2Sklearn.utils.data.TabularDataset'>,MLP,1.0,Regression,21.0,20.0,20.0
