hidden_dim,num_transformer_layers,num_graph_layers,num_mlp_layers,graph_nhead,dropout,nhead,share_embedding_mlp,use_cls,epochs,lr,batchnorm,grad_clip,Train r2,Val r2,Test r2,Train rmse,Val rmse,Test rmse,Train mape,Val mape,Test mape,Time,input_dim,random_state,loss,rootpath,GraphDataFactory,output_dim,mode,graph_mode,verbose,Precedence
16.0,1.0,1.0,1.0,4.0,0.1,8.0,True,False,10.0,0.01,False,False,0.892577,0.8919,0.892073,0.096765,0.097071,0.096999,,,,275.45,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7a6643db04c0>,1.0,Regression,concat,True,10.0
16.0,1.0,1.0,1.0,4.0,0.1,16.0,True,False,10.0,0.01,False,False,0.898309,0.896364,0.896455,0.094148,0.095046,0.095009,,,,274.36,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7a6643db04c0>,1.0,Regression,concat,True,11.0
32.0,1.0,1.0,1.0,4.0,0.1,4.0,True,False,10.0,0.01,False,False,-5.2e-05,-5.2e-05,-5.2e-05,0.295244,0.295249,0.295265,,,,275.81,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7a6643db04c0>,1.0,Regression,concat,True,12.0
64.0,1.0,1.0,1.0,4.0,0.1,4.0,True,False,10.0,0.01,False,False,0.894042,0.892134,0.892134,0.096103,0.096966,0.096971,,,,275.5,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7a6643db04c0>,1.0,Regression,concat,True,13.0
128.0,1.0,1.0,1.0,4.0,0.1,4.0,True,False,10.0,0.01,False,False,0.888356,0.886858,0.886845,0.098648,0.099309,0.09932,,,,277.0,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7a6643db04c0>,1.0,Regression,concat,True,14.0
256.0,1.0,1.0,1.0,4.0,0.1,4.0,True,False,10.0,0.01,False,False,-0.000294,-0.000294,-0.000294,0.29528,0.295285,0.295301,,,,285.42,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7a6643db04c0>,1.0,Regression,concat,True,15.0
16.0,1.0,1.0,1.0,4.0,0.0,4.0,True,False,10.0,0.01,False,False,0.903312,0.902063,0.901849,0.091803,0.092395,0.092501,,,,240.58,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7a6643db04c0>,1.0,Regression,concat,True,16.0
16.0,1.0,1.0,1.0,4.0,0.05,4.0,True,False,10.0,0.01,False,False,0.899094,0.898195,0.897592,0.093784,0.094202,0.094486,,,,273.43,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7a6643db04c0>,1.0,Regression,concat,True,17.0
16.0,1.0,1.0,1.0,4.0,0.2,4.0,True,False,10.0,0.01,False,False,0.869121,0.868852,0.868946,0.106808,0.10692,0.106887,,,,275.98,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7a6643db04c0>,1.0,Regression,concat,True,18.0
16.0,1.0,1.0,1.0,4.0,0.0,4.0,False,False,10.0,0.01,False,False,-0.0,-0.0,-0.0,0.295236,0.295241,0.295257,,,,256.87,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7a6643db04c0>,1.0,Regression,concat,True,19.0
