hidden_dim,num_encoder_layers,num_decoder_layers,num_graph_layers,graph_nhead,dropout,epochs,lr,batchnorm,grad_clip,features,feature combo ningxiang score,Train r2,Val r2,Test r2,Train rmse,Val rmse,Test rmse,Train mape,Val mape,Test mape,Time,input_dim,random_state,loss,rootpath,GraphDataFactory,output_dim,mode,graph_mode,verbose,n_columns,n_features,Precedence
16.0,2.0,1.0,1.0,4.0,0.1,10.0,0.01,False,True,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks']",0.9296124325661,0.881464,0.881695,0.881345,0.101647,0.10155,0.101705,,,,83.71,11.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7dc33d8663b0>,1.0,Regression,concat,True,11.0,10.0,10.0
16.0,2.0,1.0,1.0,4.0,0.1,10.0,0.01,False,True,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks', 'Tackles Outside 50']",0.9370952172710802,0.882235,0.882217,0.88247,0.101316,0.101326,0.101222,,,,84.93,12.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7dc33d8663b0>,1.0,Regression,concat,True,12.0,11.0,11.0
16.0,2.0,1.0,1.0,4.0,0.1,10.0,0.01,False,True,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks', 'Tackles Outside 50', 'Metres Gained']",0.943798522826618,0.891153,0.889988,0.890279,0.097404,0.097926,0.097801,,,,83.11,13.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7dc33d8663b0>,1.0,Regression,concat,True,13.0,12.0,12.0
16.0,2.0,1.0,1.0,4.0,0.1,10.0,0.01,False,True,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks', 'Tackles Outside 50', 'Metres Gained', 'Marks']",0.9503332272292372,0.888419,0.887393,0.888553,0.09862,0.099074,0.098567,,,,85.34,14.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7dc33d8663b0>,1.0,Regression,concat,True,14.0,13.0,13.0
16.0,2.0,1.0,1.0,4.0,0.1,10.0,0.01,False,True,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks', 'Tackles Outside 50', 'Metres Gained', 'Marks', 'Behind Assists']",0.9565296687326263,0.893697,0.893049,0.892907,0.096259,0.096554,0.096623,,,,81.57,15.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7dc33d8663b0>,1.0,Regression,concat,True,15.0,14.0,14.0
16.0,2.0,1.0,1.0,4.0,0.1,10.0,0.01,False,True,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks', 'Tackles Outside 50', 'Metres Gained', 'Marks', 'Behind Assists', 'Intercepts']",0.9611499564974356,0.89575,0.894772,0.894612,0.095325,0.095773,0.095851,,,,83.86,16.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7dc33d8663b0>,1.0,Regression,concat,True,16.0,15.0,15.0
16.0,2.0,1.0,1.0,4.0,0.1,10.0,0.01,False,True,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks', 'Tackles Outside 50', 'Metres Gained', 'Marks', 'Behind Assists', 'Intercepts', 'Marks Inside 50']",0.9645858003064072,0.891992,0.891799,0.891201,0.097028,0.097116,0.097389,,,,81.23,17.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7dc33d8663b0>,1.0,Regression,concat,True,17.0,16.0,16.0
16.0,2.0,1.0,1.0,4.0,0.1,10.0,0.01,False,True,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks', 'Tackles Outside 50', 'Metres Gained', 'Marks', 'Behind Assists', 'Intercepts', 'Marks Inside 50', 'Goal Assists']",0.9673770870917228,0.89644,0.896296,0.89564,0.095009,0.095077,0.095382,,,,84.76,18.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7dc33d8663b0>,1.0,Regression,concat,True,18.0,17.0,17.0
16.0,2.0,1.0,1.0,4.0,0.1,10.0,0.01,False,True,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks', 'Tackles Outside 50', 'Metres Gained', 'Marks', 'Behind Assists', 'Intercepts', 'Marks Inside 50', 'Goal Assists', 'Frees Agains']",0.9701515001846404,0.898395,0.897235,0.89755,0.094108,0.094646,0.094505,,,,81.77,19.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7dc33d8663b0>,1.0,Regression,concat,True,19.0,18.0,18.0
16.0,2.0,1.0,1.0,4.0,0.1,10.0,0.01,False,True,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks', 'Tackles Outside 50', 'Metres Gained', 'Marks', 'Behind Assists', 'Intercepts', 'Marks Inside 50', 'Goal Assists', 'Frees Agains', 'Tackles Inside 50']",0.9727234836103577,0.886909,0.88681,0.886839,0.099285,0.09933,0.099323,,,,83.46,20.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7dc33d8663b0>,1.0,Regression,concat,True,20.0,19.0,19.0
16.0,2.0,1.0,1.0,4.0,0.1,10.0,0.01,False,True,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks', 'Tackles Outside 50', 'Metres Gained', 'Marks', 'Behind Assists', 'Intercepts', 'Marks Inside 50', 'Goal Assists', 'Frees Agains', 'Tackles Inside 50', 'Handballs']",0.975217379174236,0.89365,0.893598,0.893037,0.096281,0.096306,0.096564,,,,83.35,21.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7dc33d8663b0>,1.0,Regression,concat,True,21.0,20.0,20.0
