hidden_dim,num_encoder_layers,num_decoder_layers,num_graph_layers,graph_nhead,dropout,epochs,lr,batchnorm,grad_clip,features,feature combo ningxiang score,Train r2,Val r2,Test r2,Train rmse,Val rmse,Test rmse,Train mape,Val mape,Test mape,Time,input_dim,random_state,loss,rootpath,GraphDataFactory,output_dim,mode,graph_mode,verbose,n_columns,n_features,Precedence
16.0,2.0,1.0,1.0,4.0,0.1,10.0,0.01,0.0,1.0,['Effective Disposals'],0.44653042996227,0.57949,0.57874,0.580663,0.191451,0.191625,0.191197,,,,80.04,1.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7ddfebf46440>,1.0,Regression,residual,True,1.0,0.0,0.0
16.0,2.0,1.0,1.0,4.0,0.1,10.0,0.01,False,True,"['Effective Disposals', 'Disposals']",0.5902700666140068,0.590264,0.589194,0.589346,0.188983,0.189232,0.189207,,,,78.51,2.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7ddfebf46440>,1.0,Regression,residual,True,2.0,1.0,1.0
16.0,2.0,1.0,1.0,4.0,0.1,10.0,0.01,False,True,"['Effective Disposals', 'Disposals', 'Contested Possessions']",0.6884421836299831,0.670909,0.668912,0.675826,0.169367,0.169882,0.168108,,,,78.97,3.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7ddfebf46440>,1.0,Regression,residual,True,3.0,2.0,2.0
16.0,2.0,1.0,1.0,4.0,0.1,10.0,0.01,False,True,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals']",0.7573402957514369,0.738562,0.734612,0.737906,0.150957,0.152096,0.151157,,,,78.83,4.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7ddfebf46440>,1.0,Regression,residual,True,4.0,3.0,3.0
16.0,2.0,1.0,1.0,4.0,0.1,10.0,0.01,False,True,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements']",0.7965879020682821,0.760499,0.756742,0.760052,0.144485,0.145616,0.14463,,,,78.62,5.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7ddfebf46440>,1.0,Regression,residual,True,5.0,4.0,4.0
16.0,2.0,1.0,1.0,4.0,0.1,10.0,0.01,False,True,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts']",0.8334493582092865,0.782746,0.779288,0.782033,0.137611,0.138704,0.137847,,,,80.01,6.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7ddfebf46440>,1.0,Regression,residual,True,6.0,5.0,5.0
16.0,2.0,1.0,1.0,4.0,0.1,10.0,0.01,False,True,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks']",0.8643600434499222,0.802412,0.799032,0.801088,0.131235,0.132355,0.131683,,,,79.93,7.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7ddfebf46440>,1.0,Regression,residual,True,7.0,6.0,6.0
16.0,2.0,1.0,1.0,4.0,0.1,10.0,0.01,False,True,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles']",0.8888584293867895,0.831272,0.827505,0.828778,0.121273,0.122621,0.122174,,,,79.62,8.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7ddfebf46440>,1.0,Regression,residual,True,8.0,7.0,7.0
16.0,2.0,1.0,1.0,4.0,0.1,10.0,0.01,False,True,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters']",0.908246584633331,0.859402,0.856555,0.857495,0.110703,0.11182,0.111459,,,,78.73,9.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7ddfebf46440>,1.0,Regression,residual,True,9.0,8.0,8.0
16.0,2.0,1.0,1.0,4.0,0.1,10.0,0.01,False,True,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers']",0.921724797043356,0.866142,0.864708,0.864976,0.108017,0.108596,0.108494,,,,79.03,10.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7ddfebf46440>,1.0,Regression,residual,True,10.0,9.0,9.0
16.0,2.0,1.0,1.0,4.0,0.1,10.0,0.01,False,True,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks']",0.9296124325661,0.885817,0.885659,0.885451,0.099763,0.099834,0.09993,,,,79.4,11.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7ddfebf46440>,1.0,Regression,residual,True,11.0,10.0,10.0
16.0,2.0,1.0,1.0,4.0,0.1,10.0,0.01,False,True,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks', 'Tackles Outside 50']",0.9370952172710802,0.88833,0.887565,0.8881,0.098659,0.098998,0.098768,,,,79.74,12.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7ddfebf46440>,1.0,Regression,residual,True,12.0,11.0,11.0
16.0,2.0,1.0,1.0,4.0,0.1,10.0,0.01,False,True,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks', 'Tackles Outside 50', 'Metres Gained']",0.943798522826618,0.889854,0.889277,0.889457,0.097984,0.098242,0.098167,,,,79.99,13.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7ddfebf46440>,1.0,Regression,residual,True,13.0,12.0,12.0
16.0,2.0,1.0,1.0,4.0,0.1,10.0,0.01,False,True,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks', 'Tackles Outside 50', 'Metres Gained', 'Marks']",0.9503332272292372,0.891919,0.890916,0.891245,0.097061,0.097512,0.09737,,,,80.62,14.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7ddfebf46440>,1.0,Regression,residual,True,14.0,13.0,13.0
