hidden_dim,num_transformer_layers,num_graph_layers,num_mlp_layers,graph_nhead,dropout,nhead,share_embedding_mlp,use_cls,epochs,lr,batchnorm,grad_clip,Train r2,Val r2,Test r2,Train rmse,Val rmse,Test rmse,Train mape,Val mape,Test mape,Time,input_dim,random_state,loss,rootpath,GraphDataFactory,output_dim,mode,graph_mode,verbose,Precedence
256.0,1.0,1.0,1.0,16.0,0.1,4.0,True,False,10.0,0.01,False,False,0.88883,0.887929,0.887943,0.098438,0.098838,0.098837,,,,380.61,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x791b95b27520>,1.0,Regression,residual,True,15.0
16.0,1.0,1.0,1.0,16.0,0.0,4.0,True,False,10.0,0.01,False,False,0.902031,0.900245,0.900174,0.092409,0.093249,0.093287,,,,322.32,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x791b95b27520>,1.0,Regression,residual,True,16.0
16.0,1.0,1.0,1.0,16.0,0.05,4.0,True,False,10.0,0.01,False,False,0.896493,0.895788,0.896073,0.094985,0.09531,0.095184,,,,369.25,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x791b95b27520>,1.0,Regression,residual,True,17.0
16.0,1.0,1.0,1.0,16.0,0.2,4.0,True,False,10.0,0.01,False,False,0.871831,0.871523,0.870914,0.105697,0.105825,0.106081,,,,368.1,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x791b95b27520>,1.0,Regression,residual,True,18.0
16.0,1.0,1.0,1.0,16.0,0.0,4.0,False,False,10.0,0.01,False,False,0.900595,0.899247,0.898758,0.093084,0.093714,0.093946,,,,336.63,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x791b95b27520>,1.0,Regression,residual,True,19.0
16.0,1.0,1.0,1.0,16.0,0.0,4.0,True,True,10.0,0.01,False,False,-0.0,-0.0,-0.0,0.295236,0.295241,0.295257,,,,274.22,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x791b95b27520>,1.0,Regression,residual,True,20.0
16.0,1.0,1.0,1.0,16.0,0.0,4.0,True,False,10.0,0.01,True,False,-0.0,-0.0,-0.0,0.295236,0.295241,0.295257,,,,406.58,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x791b95b27520>,1.0,Regression,residual,True,21.0
16.0,1.0,1.0,1.0,16.0,0.0,4.0,True,False,10.0,0.01,False,True,0.902819,0.900867,0.901185,0.092037,0.092958,0.092813,,,,333.77,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x791b95b27520>,1.0,Regression,residual,True,22.0
16.0,1.0,1.0,1.0,16.0,0.0,4.0,True,False,10.0,1e-05,False,True,0.90241,0.901702,0.901236,0.09223,0.092565,0.092789,,,,330.01,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x791b95b27520>,1.0,Regression,residual,True,23.0
16.0,1.0,1.0,1.0,16.0,0.0,4.0,True,False,10.0,0.0001,False,True,0.905895,0.904839,0.903816,0.090568,0.091077,0.09157,,,,321.75,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x791b95b27520>,1.0,Regression,residual,True,24.0
16.0,1.0,1.0,1.0,16.0,0.0,4.0,True,False,10.0,0.001,False,True,0.909443,0.908007,0.907119,0.088844,0.089548,0.089984,,,,326.22,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x791b95b27520>,1.0,Regression,residual,True,25.0
16.0,1.0,1.0,1.0,16.0,0.0,4.0,True,False,10.0,0.1,False,True,-0.005996,-0.005996,-0.005995,0.29612,0.296125,0.296141,,,,328.03,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x791b95b27520>,1.0,Regression,residual,True,26.0
16.0,1.0,1.0,1.0,16.0,0.0,4.0,True,False,5.0,0.001,False,True,0.906795,0.906717,0.905608,0.090134,0.090173,0.090713,,,,164.11,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x791b95b27520>,1.0,Regression,residual,True,27.0
16.0,1.0,1.0,1.0,16.0,0.0,4.0,True,False,20.0,0.001,False,True,0.913414,0.912363,0.910654,0.086875,0.087402,0.088255,,,,733.05,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7dc6ce116b90>,1.0,Regression,residual,True,28.0
16.0,1.0,1.0,1.0,16.0,0.0,4.0,True,False,30.0,0.001,False,True,0.914797,0.912823,0.912589,0.086178,0.087172,0.087294,,,,1061.33,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7dc6ce116b90>,1.0,Regression,residual,True,29.0
16.0,2.0,1.0,1.0,16.0,0.0,4.0,True,False,30.0,0.001,False,True,0.917035,0.914171,0.912954,0.085039,0.086496,0.087111,,,,1172.97,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7dc6ce116b90>,1.0,Regression,residual,True,30.0
16.0,3.0,1.0,1.0,16.0,0.0,4.0,True,False,30.0,0.001,False,True,0.915427,0.91327,0.912734,0.085859,0.086948,0.087222,,,,1248.26,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7dc6ce116b90>,1.0,Regression,residual,True,31.0
16.0,2.0,1.0,1.0,2.0,0.0,4.0,True,False,30.0,0.001,False,True,0.917832,0.915654,0.914759,0.084629,0.085745,0.086204,,,,739.1,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7e53f775f250>,1.0,Regression,residual,True,32.0
16.0,2.0,1.0,1.0,4.0,0.0,4.0,True,False,30.0,0.001,False,True,0.918357,0.915046,0.914312,0.084358,0.086054,0.086429,,,,774.62,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7e53f775f250>,1.0,Regression,residual,True,33.0
16.0,2.0,1.0,1.0,8.0,0.0,4.0,True,False,30.0,0.001,False,True,0.918379,0.915483,0.914819,0.084347,0.085832,0.086173,,,,861.23,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7e53f775f250>,1.0,Regression,residual,True,34.0
16.0,2.0,2.0,1.0,2.0,0.0,4.0,True,False,30.0,0.001,False,True,0.916832,0.916088,0.91547,0.085143,0.085524,0.085843,,,,812.69,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7e53f775f250>,1.0,Regression,residual,True,35.0
16.0,2.0,2.0,2.0,2.0,0.0,4.0,True,False,30.0,0.001,False,True,0.917817,0.916253,0.915639,0.084637,0.08544,0.085757,,,,817.84,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7e53f775f250>,1.0,Regression,residual,True,36.0
16.0,2.0,2.0,3.0,2.0,0.0,4.0,True,False,30.0,0.001,False,True,0.917262,0.915105,0.914639,0.084922,0.086024,0.086264,,,,835.8,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7f8351a4b130>,1.0,Regression,residual,True,37.0
16.0,2.0,2.0,2.0,2.0,0.0,2.0,True,False,30.0,0.001,False,True,0.917577,0.916416,0.915924,0.08476,0.085357,0.085612,,,,815.85,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7f8351a4b130>,1.0,Regression,residual,True,38.0
16.0,2.0,2.0,2.0,2.0,0.0,8.0,True,False,30.0,0.001,False,True,0.917494,0.915169,0.91484,0.084803,0.085991,0.086162,,,,819.9,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7f8351a4b130>,1.0,Regression,residual,True,39.0
16.0,2.0,2.0,2.0,2.0,0.0,16.0,True,False,30.0,0.001,False,True,0.918024,0.915952,0.915386,0.08453,0.085594,0.085886,,,,828.29,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7f8351a4b130>,1.0,Regression,residual,True,40.0
32.0,2.0,2.0,2.0,2.0,0.0,2.0,True,False,30.0,0.001,False,True,0.917413,0.916216,0.915623,0.084845,0.085459,0.085766,,,,793.14,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x789da73a08b0>,1.0,Regression,residual,True,41.0
64.0,2.0,2.0,2.0,2.0,0.0,2.0,True,False,30.0,0.001,False,True,0.918554,0.913819,0.913278,0.084256,0.086673,0.086949,,,,785.06,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x789da73a08b0>,1.0,Regression,residual,True,42.0
128.0,2.0,2.0,2.0,2.0,0.0,2.0,True,False,30.0,0.001,False,True,0.920483,0.91543,0.91503,0.083253,0.085859,0.086066,,,,795.43,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x789da73a08b0>,1.0,Regression,residual,True,43.0
256.0,2.0,2.0,2.0,2.0,0.0,2.0,True,False,30.0,0.001,False,True,-0.0,-0.0,-0.0,0.295236,0.295241,0.295257,,,,833.57,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x789da73a08b0>,1.0,Regression,residual,True,44.0
16.0,2.0,2.0,2.0,2.0,0.05,2.0,True,False,30.0,0.001,False,True,0.915549,0.911671,0.91069,0.085797,0.087746,0.088237,,,,874.14,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x789da73a08b0>,1.0,Regression,residual,True,45.0
16.0,2.0,2.0,2.0,2.0,0.1,2.0,True,False,30.0,0.001,False,True,0.914137,0.911153,0.911336,0.086511,0.088003,0.087917,,,,896.27,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7e4315146b90>,1.0,Regression,residual,True,46.0
16.0,2.0,2.0,2.0,2.0,0.2,2.0,True,False,30.0,0.001,False,True,0.894477,0.893924,0.893522,0.095905,0.096158,0.096345,,,,893.63,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7e4315146b90>,1.0,Regression,residual,True,47.0
16.0,2.0,2.0,2.0,2.0,0.0,2.0,False,False,30.0,0.001,False,True,0.916438,0.91578,0.915501,0.085344,0.085681,0.085827,,,,863.19,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7e4315146b90>,1.0,Regression,residual,True,48.0
16.0,2.0,2.0,2.0,2.0,0.0,2.0,True,True,30.0,0.001,False,True,-0.0,-0.0,-0.0,0.295236,0.295241,0.295257,,,,660.4,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7e4315146b90>,1.0,Regression,residual,True,49.0
16.0,2.0,2.0,2.0,2.0,0.0,2.0,True,False,30.0,0.001,True,True,0.874378,0.869494,0.874685,0.104641,0.106658,0.104521,,,,1031.15,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7e4315146b90>,1.0,Regression,residual,True,50.0
16.0,2.0,2.0,2.0,2.0,0.0,2.0,True,False,30.0,0.001,False,False,0.917357,0.915859,0.915765,0.084874,0.085641,0.085693,,,,758.07,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7e4315146b90>,1.0,Regression,residual,True,51.0
16.0,2.0,2.0,2.0,2.0,0.0,2.0,True,False,30.0,1e-05,False,True,0.906442,0.906084,0.905153,0.090305,0.090479,0.090931,,,,786.66,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7e4315146b90>,1.0,Regression,residual,True,52.0
16.0,2.0,2.0,2.0,2.0,0.0,2.0,True,False,30.0,0.0001,False,True,0.9152,0.913322,0.912704,0.085974,0.086922,0.087236,,,,782.45,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7e4315146b90>,1.0,Regression,residual,True,53.0
16.0,2.0,2.0,2.0,2.0,0.0,2.0,True,False,30.0,0.01,False,True,0.892169,0.890572,0.891268,0.096949,0.097666,0.09736,,,,787.09,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7e4315146b90>,1.0,Regression,residual,True,54.0
16.0,2.0,2.0,2.0,2.0,0.0,2.0,True,False,30.0,0.1,False,True,-2e-06,-2e-06,-2e-06,0.295236,0.295242,0.295257,,,,786.3,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7e4315146b90>,1.0,Regression,residual,True,55.0
16.0,2.0,2.0,2.0,2.0,0.0,2.0,True,False,5.0,0.001,False,True,0.91249,0.912625,0.911018,0.087337,0.087271,0.088075,,,,132.65,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7e4315146b90>,1.0,Regression,residual,True,56.0
16.0,2.0,2.0,2.0,2.0,0.0,2.0,True,False,10.0,0.001,False,True,0.911918,0.910619,0.909592,0.087622,0.088267,0.088777,,,,262.06,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7e4315146b90>,1.0,Regression,residual,True,57.0
16.0,2.0,2.0,2.0,2.0,0.0,2.0,True,False,20.0,0.001,False,True,0.916496,0.915929,0.914455,0.085315,0.085605,0.086357,,,,522.66,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7e4315146b90>,1.0,Regression,residual,True,58.0
16.0,1.0,2.0,2.0,2.0,0.0,2.0,True,False,30.0,0.001,False,True,0.915605,0.912879,0.912956,0.085769,0.087144,0.08711,,,,709.93,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7e4315146b90>,1.0,Regression,residual,True,59.0
16.0,3.0,2.0,2.0,2.0,0.0,2.0,True,False,30.0,0.001,False,True,0.916327,0.914976,0.914284,0.085401,0.086089,0.086443,,,,840.24,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7e4315146b90>,1.0,Regression,residual,True,60.0
16.0,2.0,2.0,2.0,4.0,0.0,2.0,True,False,30.0,0.001,False,True,0.917862,0.916023,0.915798,0.084614,0.085557,0.085677,,,,851.98,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7e4315146b90>,1.0,Regression,residual,True,61.0
16.0,2.0,2.0,2.0,8.0,0.0,2.0,True,False,30.0,0.001,False,True,0.917317,0.915765,0.915477,0.084894,0.085689,0.08584,,,,1006.93,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7e4315146b90>,1.0,Regression,residual,True,62.0
16.0,2.0,2.0,2.0,16.0,0.0,2.0,True,False,30.0,0.001,False,True,0.916377,0.914919,0.914485,0.085375,0.086118,0.086342,,,,1346.93,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x787b98977370>,1.0,Regression,residual,True,63.0
16.0,2.0,1.0,2.0,2.0,0.0,2.0,True,False,30.0,0.001,False,True,0.917412,0.91393,0.913526,0.084845,0.086617,0.086825,,,,709.78,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x787b98977370>,1.0,Regression,residual,True,64.0
16.0,2.0,2.0,1.0,2.0,0.0,2.0,True,False,30.0,0.001,False,True,0.917608,0.914914,0.914701,0.084745,0.086121,0.086233,,,,778.2,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x787b98977370>,1.0,Regression,residual,True,65.0
16.0,2.0,2.0,3.0,2.0,0.0,2.0,True,False,30.0,0.001,False,True,0.917305,0.915281,0.915284,0.0849,0.085934,0.085938,,,,798.74,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x787b98977370>,1.0,Regression,residual,True,66.0
16.0,1.0,2.0,1.0,4.0,0.1,4.0,True,False,10.0,0.01,False,False,0.896752,0.895558,0.894836,0.094866,0.095415,0.095749,,,,290.94,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x787b98977370>,1.0,Regression,residual,True,67.0
16.0,1.0,1.0,2.0,4.0,0.1,4.0,True,False,10.0,0.01,False,False,0.898006,0.895756,0.896381,0.094288,0.095324,0.095043,,,,247.51,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x787b98977370>,1.0,Regression,residual,True,68.0
16.0,1.0,1.0,3.0,4.0,0.1,4.0,True,False,10.0,0.01,False,False,0.888481,0.887051,0.886757,0.098593,0.099225,0.099359,,,,279.14,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7f09b8152950>,1.0,Regression,residual,True,69.0
16.0,1.0,1.0,1.0,4.0,0.1,2.0,True,False,10.0,0.01,False,False,0.898035,0.896852,0.896351,0.094275,0.094822,0.095057,,,,273.23,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7f09b8152950>,1.0,Regression,residual,True,70.0
16.0,1.0,1.0,1.0,4.0,0.1,8.0,True,False,10.0,0.01,False,False,0.895121,0.894923,0.892867,0.095612,0.095704,0.096641,,,,274.4,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7f09b8152950>,1.0,Regression,residual,True,71.0
16.0,1.0,1.0,1.0,4.0,0.1,16.0,True,False,10.0,0.01,False,False,0.896706,0.895359,0.895478,0.094887,0.095506,0.095456,,,,279.79,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7f09b8152950>,1.0,Regression,residual,True,72.0
32.0,1.0,1.0,1.0,4.0,0.1,4.0,True,False,10.0,0.01,False,False,-3.2e-05,-3.2e-05,-3.2e-05,0.295241,0.295246,0.295262,,,,273.45,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7f09b8152950>,1.0,Regression,residual,True,73.0
64.0,1.0,1.0,1.0,4.0,0.1,4.0,True,False,10.0,0.01,False,False,0.88707,0.885433,0.884115,0.099214,0.099932,0.100511,,,,272.77,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7f09b8152950>,1.0,Regression,residual,True,74.0
128.0,1.0,1.0,1.0,4.0,0.1,4.0,True,False,10.0,0.01,False,False,0.86847,0.86678,0.866118,0.107074,0.107761,0.108034,,,,277.28,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7f09b8152950>,1.0,Regression,residual,True,75.0
256.0,1.0,1.0,1.0,4.0,0.1,4.0,True,False,10.0,0.01,False,False,0.895394,0.894105,0.894498,0.095488,0.096076,0.095903,,,,282.88,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7f09b8152950>,1.0,Regression,residual,True,76.0
16.0,1.0,1.0,1.0,4.0,0.0,4.0,True,False,10.0,0.01,False,False,0.90239,0.901302,0.900945,0.092239,0.092754,0.092926,,,,238.32,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7f09b8152950>,1.0,Regression,residual,True,77.0
16.0,1.0,1.0,1.0,4.0,0.05,4.0,True,False,10.0,0.01,False,False,0.89145,0.890602,0.889531,0.097271,0.097652,0.098134,,,,266.75,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7f09b8152950>,1.0,Regression,residual,True,78.0
16.0,1.0,1.0,1.0,4.0,0.2,4.0,True,False,10.0,0.01,False,False,0.873915,0.873331,0.873289,0.104834,0.105078,0.105101,,,,266.64,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7f09b8152950>,1.0,Regression,residual,True,79.0
16.0,1.0,1.0,1.0,4.0,0.1,4.0,False,False,10.0,0.01,False,False,0.881766,0.881163,0.883005,0.101517,0.101778,0.100991,,,,287.86,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7f09b8152950>,1.0,Regression,residual,True,80.0
16.0,1.0,1.0,1.0,4.0,0.1,4.0,True,True,10.0,0.01,False,False,-9.2e-05,-9.2e-05,-9.2e-05,0.29525,0.295255,0.295271,,,,226.93,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7f09b8152950>,1.0,Regression,residual,True,81.0
16.0,1.0,1.0,1.0,4.0,0.1,4.0,True,False,10.0,0.01,True,False,0.886193,0.885092,0.886287,0.099599,0.100081,0.099565,,,,352.85,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7f09b8152950>,1.0,Regression,residual,True,82.0
16.0,1.0,1.0,1.0,4.0,0.1,4.0,True,False,10.0,0.01,False,True,0.89768,0.896647,0.896535,0.094439,0.094916,0.094972,,,,276.55,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7f09b8152950>,1.0,Regression,residual,True,83.0
16.0,1.0,1.0,1.0,4.0,0.1,4.0,True,False,10.0,1e-05,False,False,0.887377,0.887638,0.888742,0.099079,0.098966,0.098484,,,,265.65,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7f09b8152950>,1.0,Regression,residual,True,84.0
16.0,1.0,1.0,1.0,4.0,0.1,4.0,True,False,10.0,0.0001,False,False,0.899267,0.898424,0.897966,0.093704,0.094096,0.094313,,,,271.08,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7f09b8152950>,1.0,Regression,residual,True,85.0
16.0,1.0,1.0,1.0,4.0,0.1,4.0,True,False,10.0,0.001,False,False,0.902388,0.901994,0.90175,0.092241,0.092428,0.092548,,,,264.32,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7f09b8152950>,1.0,Regression,residual,True,86.0
16.0,1.0,1.0,1.0,4.0,0.1,4.0,True,False,10.0,0.1,False,False,-0.004078,-0.004078,-0.004078,0.295838,0.295843,0.295858,,,,260.12,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7f09b8152950>,1.0,Regression,residual,True,87.0
16.0,1.0,1.0,1.0,4.0,0.1,4.0,True,False,5.0,0.01,False,False,0.826667,0.826671,0.826938,0.122916,0.122917,0.122829,,,,133.9,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7f09b8152950>,1.0,Regression,residual,True,88.0
16.0,1.0,1.0,1.0,4.0,0.1,4.0,True,False,20.0,0.01,False,False,0.856286,0.855687,0.855579,0.111923,0.112158,0.112206,,,,532.75,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7f09b8152950>,1.0,Regression,residual,True,89.0
16.0,1.0,1.0,1.0,4.0,0.1,4.0,True,False,30.0,0.01,False,False,0.857108,0.856805,0.857767,0.111602,0.111723,0.111353,,,,791.99,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7f09b8152950>,1.0,Regression,residual,True,90.0
