hidden_dim,num_transformer_layers,num_graph_layers,num_mlp_layers,graph_nhead,dropout,nhead,share_embedding_mlp,use_cls,epochs,lr,batchnorm,grad_clip,Train r2,Val r2,Test r2,Train rmse,Val rmse,Test rmse,Train mape,Val mape,Test mape,Time,input_dim,random_state,loss,rootpath,GraphDataFactory,output_dim,mode,graph_mode,verbose,Precedence
16.0,1.0,1.0,1.0,4.0,0.1,4.0,1.0,0.0,10.0,0.01,0.0,0.0,0.888332,0.887601,0.888693,0.098659,0.098982,0.098506,,,,258.09,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7bffe655ea70>,1.0,Regression,residual,True,0.0
16.0,2.0,1.0,1.0,4.0,0.1,4.0,True,False,10.0,0.01,False,False,0.875338,0.873956,0.873038,0.10424,0.104819,0.105205,,,,284.37,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7bffe655ea70>,1.0,Regression,residual,True,1.0
16.0,3.0,1.0,1.0,4.0,0.1,4.0,True,False,10.0,0.01,False,False,0.885932,0.884906,0.884688,0.099713,0.100162,0.100262,,,,321.23,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7bffe655ea70>,1.0,Regression,residual,True,2.0
16.0,1.0,1.0,1.0,2.0,0.1,4.0,True,False,10.0,0.01,False,False,0.888312,0.887516,0.887526,0.098667,0.09902,0.099021,,,,247.18,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7bffe655ea70>,1.0,Regression,residual,True,3.0
16.0,1.0,1.0,1.0,8.0,0.1,4.0,True,False,10.0,0.01,False,False,0.890075,0.889229,0.889432,0.097885,0.098263,0.098178,,,,289.36,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7bffe655ea70>,1.0,Regression,residual,True,4.0
16.0,1.0,1.0,1.0,16.0,0.1,4.0,True,False,10.0,0.01,False,False,0.896208,0.895265,0.8949,0.095116,0.095548,0.09572,,,,343.5,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7bffe655ea70>,1.0,Regression,residual,True,5.0
16.0,1.0,2.0,1.0,16.0,0.1,4.0,True,False,10.0,0.01,False,False,0.894017,0.893694,0.892378,0.096114,0.096262,0.096861,,,,483.01,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7bffe655ea70>,1.0,Regression,residual,True,6.0
16.0,1.0,1.0,2.0,16.0,0.1,4.0,True,False,10.0,0.01,False,False,0.874829,0.874739,0.873742,0.104453,0.104492,0.104913,,,,345.14,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7bffe655ea70>,1.0,Regression,residual,True,7.0
16.0,1.0,1.0,3.0,16.0,0.1,4.0,True,False,10.0,0.01,False,False,0.87152,0.870879,0.870616,0.105825,0.10609,0.106204,,,,341.43,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7bffe655ea70>,1.0,Regression,residual,True,8.0
16.0,1.0,1.0,1.0,16.0,0.1,2.0,True,False,10.0,0.01,False,False,0.889718,0.888417,0.887997,0.098044,0.098623,0.098813,,,,338.1,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7bffe655ea70>,1.0,Regression,residual,True,9.0
16.0,1.0,1.0,1.0,16.0,0.1,8.0,True,False,10.0,0.01,False,False,0.878602,0.876417,0.87591,0.102867,0.10379,0.104008,,,,343.89,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7bffe655ea70>,1.0,Regression,residual,True,10.0
16.0,1.0,1.0,1.0,16.0,0.1,16.0,True,False,10.0,0.01,False,False,0.893401,0.892109,0.892165,0.096393,0.096977,0.096957,,,,337.55,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7bffe655ea70>,1.0,Regression,residual,True,11.0
32.0,1.0,1.0,1.0,16.0,0.1,4.0,True,False,10.0,0.01,False,False,0.888297,0.887605,0.887394,0.098674,0.098981,0.099079,,,,336.64,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7bffe655ea70>,1.0,Regression,residual,True,12.0
64.0,1.0,1.0,1.0,16.0,0.1,4.0,True,False,10.0,0.01,False,False,-5.2e-05,-5.2e-05,-5.2e-05,0.295244,0.295249,0.295265,,,,371.43,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x791b95b27520>,1.0,Regression,residual,True,13.0
128.0,1.0,1.0,1.0,16.0,0.1,4.0,True,False,10.0,0.01,False,False,0.888678,0.888101,0.88805,0.098505,0.098762,0.09879,,,,367.69,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x791b95b27520>,1.0,Regression,residual,True,14.0
